ENGINE_SIZE,CYLINDERS,FUEL_TYPE,CITY,HWY,COMB,COMB_mpg,CO2_EMISSIONS 
1.5,4,X,7.7,6.4,7.1,40,163
2.4,4,X,11.9,9.6,10.9,26,251
2.4,4,X,12.5,9.8,11.3,25,260
1.5,4,X,8.3,6.5,7.5,38,173
1.5,4,X,8.3,6.8,7.7,37,177
1.3,4,X,5.9,5.6,5.7,50,131
1.3,4,X,5.9,5.6,5.7,50,131
3.5,6,X,13.2,8.6,11.1,25,255
3.5,6,X,12.3,8.5,10.6,27,244
3.5,6,X,14.3,10.3,12.5,23,288
3.5,6,X,14.7,10.7,12.9,22,297
3.5,6,X,15.7,11.5,13.9,20,320
1.6,4,X,8.8,6.6,7.8,36,179
1.6,4,X,8.5,6.8,7.8,36,179
1.8,4,X,8.4,6.3,7.5,38,173
1.8,4,X,8.3,6.3,7.4,38,170
2,4,X,10,7.8,9,31,207
2,4,X,10.2,7.6,9.1,31,209
4.6,8,Z,15,9.7,12.6,22,290
3.8,6,X,12.9,8.6,10.9,26,251
4.6,8,Z,14,9.5,12,24,276
2,4,Z,11.9,8,10.2,28,235
2,4,Z,11.4,7.9,9.8,29,225
3.8,6,X,13.7,8.7,11.5,25,265
3.8,6,X,13.5,9,11.5,25,265
2.4,4,X,11.8,8.6,10.4,27,239
2.4,4,X,12.5,9.1,11,26,253
3.5,6,X,11.6,9,10.4,27,239
2.4,4,X,12,9.5,10.9,26,251
3.5,6,X,12,9.1,10.7,26,246
2,4,X,10.6,7.2,9.1,31,209
2.4,4,X,10.8,6.8,9,31,207
2.4,4,X,10,6.8,8.6,33,198
2.4,4,X,6.8,5.8,6.4,44,147
2,4,X,10.4,7.8,9.2,31,212
2,4,X,11.5,8.8,10.3,27,237
2.4,4,X,10.9,7.5,9.4,30,216
2.4,4,X,11.4,8.2,10,28,230
2.4,4,X,11.5,8.5,10.1,28,232
2.4,4,X,12,8.8,10.6,27,244
3.8,6,X,14.3,10.1,12.4,23,285
3.8,6,X,14.8,10.5,12.9,22,297
3.5,6,Z,13.9,10.1,12.2,23,281
3.5,6,Z,14.9,11,13.1,22,301
5,8,Z,16.3,11.9,14.3,20,329
2.5,6,Z,11.7,8.1,10.1,28,232
2.5,6,Z,12,8.7,10.5,27,242
3.7,6,Z,13.8,9.4,11.8,24,271
3.7,6,Z,13.4,9.3,11.5,25,265
3.7,6,Z,14.5,9.9,12.4,23,285
3.7,6,Z,12.5,8.8,10.8,26,248
3.7,6,Z,13.8,9.4,11.8,24,271
3.7,6,Z,13.2,9.3,11.4,25,262
3.7,6,Z,13.2,9.3,11.4,25,262
3.7,6,Z,12.9,9,11.1,25,255
3.7,6,Z,13.5,9.8,11.9,24,274
5.6,8,Z,14.5,9.5,12.2,23,281
5.6,8,Z,15,10.1,12.8,22,294
5.6,8,Z,17.4,12.1,15,19,345
5,8,Z,14.7,9.7,12.4,23,285
5,8,Z,15.7,11,13.6,21,313
5,8,Z,14.7,9.7,12.4,23,285
5,8,Z,15.7,11,13.6,21,313
5,8,Z,15.7,11,13.6,21,313
5,8,Z,15.4,10.5,13.2,21,304
5,8,Z,15.7,11,13.6,21,313
5,8,Z,15.7,11,13.6,21,313
5,8,Z,15.1,10.6,13.1,22,301
5,8,Z,14.9,9.9,12.7,22,292
5,8,Z,15.7,10.7,13.5,21,311
5,8,Z,15.7,10.7,13.5,21,311
2,4,X,10.3,8.7,9.6,29,221
2,4,X,10.4,8.1,9.4,30,216
2.4,4,X,11,8.8,10,28,230
2.4,4,X,10.3,8.3,9.4,30,216
2.4,4,X,11.3,8.9,10.2,28,235
2.4,4,X,10.5,8.6,9.7,29,223
5.7,8,X,17.4,12.5,15.2,19,350
3.6,6,X,14.6,10.5,12.7,22,292
3.6,6,E,19.3,14.3,17,17,272
3.7,6,X,15.6,11.4,13.7,21,315
2,4,X,10.3,8.7,9.6,29,221
2,4,X,10.4,8.1,9.4,30,216
2.4,4,X,11,8.8,10,28,230
2.4,4,X,10.3,8.3,9.4,30,216
2.4,4,X,11.3,8.9,10.2,28,235
2.4,4,X,10.5,8.6,9.7,29,223
3.8,6,X,15.6,11.8,13.9,20,320
3.8,6,X,16.2,11.8,14.2,20,327
3.8,6,X,14.3,11.1,12.8,22,294
4.6,8,X,15.3,10.9,13.3,21,306
3.8,6,X,14.6,11.1,13,22,299
4.6,8,X,16.1,11.4,14,20,322
2,4,X,9.3,6.7,8.1,35,186
2,4,X,9.5,6.8,8.3,34,191
2.4,4,X,10.2,7.4,9,31,207
2.4,4,X,10.5,7.4,9.1,31,209
2,4,X,9.3,6.7,8.1,35,186
2,4,X,9.5,6.8,8.3,34,191
2.4,4,X,10.2,7.4,9,31,207
2.4,4,X,10.5,7.4,9.1,31,209
2,4,X,10.5,7,8.9,32,205
2.4,4,X,10,7,8.6,33,198
2.4,4,X,10,6.8,8.6,33,198
2.4,4,X,6.9,6.2,6.6,43,152
1.6,4,X,8.8,6.6,7.8,36,179
1.6,4,X,8.3,7,7.7,37,177
2.4,4,X,12,8.9,10.6,27,244
2.7,6,X,13,9.1,11.3,25,260
3.5,6,X,13,9.5,11.4,25,262
2.4,4,X,11.1,8.2,9.8,29,225
2.4,4,X,12,8.8,10.6,27,244
3.5,6,X,11.7,9.1,10.6,27,244
2.4,4,X,11.3,8.8,10.2,28,235
3.5,6,X,12.6,9.4,11.1,25,255
1.6,4,X,9.2,7.6,8.5,33,196
1.6,4,X,8.9,7.5,8.3,34,191
2,4,X,9.8,7.9,8.9,32,205
2,4,X,9.9,7.8,8.9,32,205
2.4,4,X,10.9,7.5,9.4,30,216
2.4,4,X,11.4,8.2,10,28,230
2.4,4,X,11.4,8.5,10.1,28,232
2.4,4,X,12,8.8,10.6,27,244
5.2,10,Z,18,12.8,15.6,18,359
5.2,10,Z,20.6,13.5,17.4,16,400
5.2,10,Z,18.1,12.8,15.7,18,361
5.2,10,Z,22.1,14.3,18.6,15,428
3.2,6,X,15.7,10.7,13.5,21,311
5,8,Z,18.9,13.6,16.5,17,380
5,8,Z,19.1,12.8,16.3,17,375
5,8,Z,18.7,13.1,16.2,17,373
5,8,Z,20,13.7,17.2,16,396
5,8,Z,20.3,13.1,17.1,17,393
1.8,4,X,5.5,5.8,5.7,50,131
3.5,6,X,12.3,8.6,10.6,27,244
3.5,6,Z,12.3,8.8,10.7,26,246
3.5,6,Z,12.9,9.3,11.2,25,258
3.5,6,Z,10,9.3,9.7,29,223
4.6,8,Z,13.9,9.6,12,24,276
4.6,8,Z,15.7,11.5,13.9,20,320
2.4,4,X,6.7,7.1,6.9,41,159
2.5,6,Z,10.9,7.6,9.4,30,216
2.5,6,Z,12.7,8.6,10.8,26,248
2.5,6,Z,11.9,8.8,10.5,27,242
2.5,6,Z,10.9,7.6,9.4,30,216
2.5,6,Z,12.7,8.6,10.8,26,248
3.5,6,Z,11.9,8.7,10.5,27,242
3.5,6,Z,12.9,9.3,11.2,25,258
3.5,6,Z,11.9,8.7,10.5,27,242
5,8,Z,14.6,10.1,12.5,23,288
4.6,8,Z,14.5,9.7,12.3,23,283
4.6,8,Z,15.1,10.3,12.9,22,297
4.6,8,Z,14.5,9.7,12.3,23,283
4.6,8,Z,15.1,10.3,12.9,22,297
5,8,Z,12,10.7,11.4,25,262
5.7,8,Z,18.8,13.4,16.4,17,377
3.5,6,Z,13.1,9.6,11.5,25,265
3.5,6,Z,7.9,8.6,8.2,34,189
4.6,8,X,15,10.4,12.9,22,297
4.6,8,E,20.3,13.9,17.4,16,278
3.7,6,X,14,9.8,12.1,23,278
3.5,6,X,14,9.6,12,24,276
3.7,6,X,14.5,10.4,12.6,22,290
3.5,6,X,14.7,10.9,13,22,299
3.7,6,X,14.7,11,13,22,299
3.7,6,X,13.7,10.4,12.2,23,281
3.5,6,X,13.2,8.8,11.2,25,258
3.5,6,X,14.2,9.8,12.2,23,281
2.5,4,X,5.7,6.5,6,47,138
5.4,8,X,18.5,13.5,16.2,17,373
5.4,8,E,24.7,18.3,21.8,13,349
4.6,8,X,15,10.4,12.9,22,297
4.6,8,E,20.3,13.9,17.4,16,278
4.2,8,Z,18.1,11.9,15.3,18,352
4.7,8,Z,18.6,11.8,15.5,18,357
4.7,8,Z,19.3,12,16,18,368
4.2,8,Z,19.4,11.9,16,18,368
4.7,8,Z,19.9,12.3,16.5,17,380
2.3,4,Z,13.1,9.5,11.5,25,265
2.5,4,X,11.8,8.6,10.4,27,239
2.3,4,Z,13.7,10.3,12.2,23,281
3.7,6,X,14.3,9.9,12.3,23,283
3.7,6,X,14.4,10.6,12.7,22,292
1.5,4,X,8.7,7.2,8,35,184
1.5,4,X,8,6.7,7.4,38,170
2,4,X,10,7.2,8.7,32,200
2,4,X,9.4,7.1,8.3,34,191
2.5,4,X,10.5,8,9.4,30,216
2.5,4,X,11.6,8.2,10.1,28,232
2.5,4,X,10.8,7.8,9.4,30,216
2.5,4,X,11.2,7.9,9.7,29,223
3.7,6,X,13.4,9.4,11.6,24,267
2.3,4,Z,13,9.5,11.4,25,262
2,4,Z,11.5,8.6,10.2,28,235
2,4,Z,10.5,8.5,9.6,29,221
2,4,Z,11.1,8.5,9.9,29,228
1.3,2,Z,14.9,10.5,12.9,22,297
1.3,2,Z,14.4,10.9,12.8,22,294
2.5,4,X,11.4,8.5,10.1,28,232
2.5,4,X,10.4,8.5,9.5,30,219
2.5,4,X,11.7,8.9,10.4,27,239
3,6,X,13,10.3,11.8,24,271
3,6,E,18,13.9,16.2,17,259
3,6,X,12.3,9.5,11.1,25,255
3,6,E,16.7,12.6,14.8,19,237
2,4,Z,10.5,8.6,9.7,29,223
2,4,Z,10.5,8,9.4,30,216
2,4,Z,10.9,8.8,9.9,29,228
2,4,Z,11.6,8.2,10.1,28,232
2.5,6,Z,13,8.9,11.2,25,258
2.5,6,Z,13.2,8.7,11.2,25,258
2.5,6,Z,13.4,9.4,11.6,24,267
3,6,Z,13.2,9.3,11.4,25,262
3,6,Z,13.2,9.1,11.4,25,262
3,6,Z,13.3,9.4,11.5,25,265
3.5,6,Z,13.8,9.5,11.9,24,274
3.5,6,Z,13.9,9.7,12,24,276
6.2,8,Z,18.7,12.1,15.7,18,361
4.7,8,Z,15.3,10.3,13.1,22,301
5.5,12,Z,19.7,12.8,16.6,17,382
5.5,8,Z,16,11.2,13.8,20,317
6,12,Z,19.4,12.8,16.4,17,377
5.5,8,Z,17.2,11.5,14.7,19,338
6.2,8,Z,19.7,13.1,16.7,17,384
3.5,6,Z,14.3,9.8,12.3,23,283
3.5,6,Z,14.4,10.2,12.5,23,288
3,6,D,11.1,7.3,9.4,30,254
3.5,6,Z,13.8,9.4,11.8,24,271
3.5,6,Z,13.4,9,11.4,25,262
5.5,8,Z,15.7,10.4,13.3,21,306
5.5,8,Z,16,10.6,13.6,21,313
5.5,8,Z,15.6,10.3,13.2,21,304
6.2,8,Z,18.3,12,15.5,18,357
5.4,8,Z,21.8,17.3,19.8,14,455
5.5,8,Z,20.6,16.1,18.6,15,428
3,6,D,13.9,10.4,12.3,23,332
4.7,8,Z,18.4,13.4,16.1,18,370
5.5,8,Z,18.9,13.9,16.7,17,384
3.5,6,Z,14.6,11,13,22,299
5.5,12,Z,23.2,15.1,19.5,14,449
6,12,Z,22.8,15,19.3,15,444
5.5,12,Z,23.2,15.1,19.5,14,449
6,12,Z,22.8,15,19.3,15,444
3.5,6,Z,15.7,12,14.1,20,324
3,6,D,12.6,9.5,11.2,25,302
5.5,8,Z,17.9,13.4,15.8,18,363
6.2,8,Z,22.4,16.3,19.7,14,453
3.5,6,Z,16.1,12.3,14.4,20,331
3,6,D,13,9.7,11.5,25,311
3.5,6,Z,12.7,9.4,11.2,25,258
4.7,8,Z,15.9,10.6,13.5,21,311
5.5,8,Z,16.6,11,14.1,20,324
5.5,12,Z,19.8,12.7,16.6,17,382
5.5,8,Z,15.6,10.9,13.5,21,311
6,12,Z,19.6,12.3,16.3,17,375
5.5,8,Z,17.3,11.4,14.7,19,338
5.5,12,Z,20.3,13.1,17.1,17,393
6.2,8,Z,19.8,12.5,16.5,17,380
6,12,Z,20.3,13,17,17,391
3,6,Z,12.7,9,11,26,253
3,6,Z,13.4,9.1,11.5,25,265
3.5,6,Z,12.6,9.4,11.1,25,255
3.5,6,Z,13.3,9.3,11.5,25,265
6.2,8,Z,17.3,12.1,15,19,345
1.6,4,Z,8.5,6.5,7.6,37,175
1.6,4,Z,8,6.4,7.3,39,168
1.6,4,Z,8.8,6.7,7.9,36,182
1.6,4,Z,8.5,6.7,7.7,37,177
1.6,4,Z,8.8,6.7,7.9,36,182
1.6,4,Z,8.5,6.7,7.7,37,177
1.6,4,Z,9.4,7.9,8.7,32,200
1.6,4,Z,8.5,6.7,7.7,37,177
1.6,4,Z,9.2,7,8.2,34,189
1.6,4,Z,8.9,6.7,8,35,184
1.6,4,Z,9.2,7,8.2,34,189
1.6,4,Z,8.9,6.7,8,35,184
1.6,4,Z,9.2,7,8.2,34,189
1.6,4,Z,8.9,6.7,8,35,184
1.6,4,Z,9.4,7.3,8.4,34,193
1.6,4,Z,9.1,7.3,8.3,34,191
1.6,4,Z,10,7.8,9,31,207
1.6,4,Z,9.4,7.5,8.5,33,196
1.6,4,Z,8.9,6.7,8,35,184
1.6,4,Z,8.9,6.7,8,35,184
1.6,4,Z,8.9,6.7,8,35,184
2.4,4,X,11.5,8.5,10.1,28,232
2.4,4,X,12,8.7,10.5,27,242
3.8,6,Z,14.2,9.6,12.1,23,278
3.8,6,Z,14.7,9.5,12.3,23,283
2.4,4,X,11.6,8.6,10.2,28,235
2.4,4,X,12,8.7,10.5,27,242
3.8,6,Z,14.2,9.6,12.1,23,278
3.8,6,Z,14.7,9.5,12.3,23,283
3.8,6,X,15.9,12.1,14.2,20,327
2,4,Z,13.4,9.4,11.6,24,267
2,4,X,9.3,7.1,8.3,34,191
2,4,X,9.7,7.1,8.5,33,196
2,4,Z,14.3,10.6,12.6,22,290
2,4,Z,13.9,10.3,12.3,23,283
2,4,Z,13.4,9.4,11.6,24,267
2,4,X,9.8,7.4,8.7,32,200
2,4,X,9.9,7.3,8.7,32,200
2.4,4,X,10.3,8.3,9.4,30,216
2.4,4,X,10.4,8.3,9.5,30,219
3,6,Z,12.5,9.4,11.1,25,255
2,4,X,9.7,7.9,8.9,32,205
2,4,X,10,7.6,8.9,32,205
2,4,X,9.7,7.9,8.9,32,205
3.7,6,Z,12.5,8.9,10.9,26,251
3.7,6,Z,13.1,9.1,11.3,25,260
3.7,6,Z,13.2,9.5,11.5,25,265
3.7,6,Z,13.4,9.6,11.7,24,269
2.5,4,X,10,7.2,8.7,32,200
2.5,4,X,10.1,7.4,8.9,32,205
3.5,6,X,11.8,8.7,10.4,27,239
2.5,4,X,10.2,7.4,9,31,207
2.5,4,X,10.3,7.5,9.1,31,209
3.5,6,X,11.6,8.7,10.3,27,237
3.5,6,X,12.9,8.7,11,26,253
2.5,4,X,6.7,7.1,6.9,41,159
5.6,8,X,19.1,13.4,16.5,17,380
1.8,4,X,8.7,7.5,8.2,34,189
1.8,4,X,9.4,8,8.8,32,202
2.5,4,X,14,10.7,12.6,22,290
2.5,4,X,12.1,10.2,11.2,25,258
4,6,X,15.9,11.5,13.9,20,320
4,6,X,16.5,12.2,14.6,19,336
4,6,X,15.4,12.2,14,20,322
3.8,6,Z,15.5,11.2,13.6,21,313
1.6,4,Z,8.5,7.3,8,35,184
1.6,4,Z,9.6,7.6,8.7,32,200
1.6,4,Z,9.3,7.9,8.6,33,198
3.5,6,Z,12.2,9.1,10.8,26,248
3.5,6,X,13.2,10.1,11.8,24,271
4,6,Z,16.6,12.1,14.6,19,336
2.5,4,X,10.3,8.3,9.4,30,216
2.5,4,X,10.6,9.1,10,28,230
2,4,X,8.8,6.8,7.9,36,182
2,4,X,9.8,7.8,8.9,32,205
2.5,4,X,10,7.8,9,31,207
2.5,4,Z,11.2,8.3,9.9,29,228
5.6,8,X,17.9,12.8,15.6,18,359
5.6,8,X,19.3,13.8,16.8,17,386
1.6,4,X,9.2,7.2,8.3,34,191
1.6,4,X,8.9,7,8.1,35,186
1.8,4,X,9.8,7.4,8.7,32,200
1.8,4,X,8.4,6.8,7.7,37,177
1.8,4,X,9.2,7.5,8.4,34,193
4,6,X,16.2,11.9,14.2,20,327
4,6,X,15.3,12.3,14,20,322
3.6,6,Z,12.6,8.7,10.8,26,248
3.6,6,Z,12.8,9.4,11.2,25,258
3.6,6,Z,12.9,8.9,11.1,25,255
3.6,6,Z,12.9,9.6,11.4,25,262
3.6,6,Z,13,9,11.2,25,258
3.6,6,Z,12.9,9.3,11.2,25,258
3.8,6,Z,12.9,9.1,11.2,25,258
3.8,6,Z,13.1,9.5,11.5,25,265
3.8,6,Z,12.8,8.9,11,26,253
3.8,6,Z,13.4,9.6,11.7,24,269
3.6,6,Z,12.8,8.8,11,26,253
3.6,6,Z,12.8,9.3,11.2,25,258
3.8,6,Z,12.6,8.9,10.9,26,251
3.8,6,Z,13.1,9.4,11.4,25,262
3.8,6,Z,12.7,8.9,11,26,253
3.8,6,Z,13,9.1,11.3,25,260
3.6,6,Z,14.6,10.2,12.6,22,290
3.8,6,Z,16.9,11.4,14.4,20,331
3.8,6,Z,16.9,11.4,14.4,20,331
4,6,Z,17.8,12.2,15.3,18,352
3.8,6,Z,12.6,8.9,10.9,26,251
3.8,6,Z,13.1,9.4,11.4,25,262
3.8,6,Z,12.7,8.9,11,26,253
3.8,6,Z,13,9.1,11.3,25,260
3.8,6,Z,12.7,8.9,11,26,253
3.6,6,Z,13,9,11.2,25,258
3.6,6,Z,12.9,9.3,11.2,25,258
3.8,6,Z,12.8,8.9,11,26,253
3.8,6,Z,13.4,9.6,11.7,24,269
3.8,6,Z,14.3,9.6,12.2,23,281
3.8,6,Z,14.3,9.8,12.3,23,283
3.8,6,Z,14.8,9.7,12.5,23,288
3.8,6,Z,14.7,9.9,12.5,23,288
3.8,6,Z,14.3,9.6,12.2,23,281
3.8,6,Z,14.8,9.7,12.5,23,288
2.9,6,Z,11.6,8,10,28,230
2.9,6,Z,12.7,8.8,10.9,26,251
3.4,6,Z,12,8,10.2,28,235
3.4,6,Z,12.6,8.9,10.9,26,251
3.4,6,Z,11.8,8,10.1,28,232
3.4,6,Z,12.2,8.9,10.7,26,246
3.6,6,Z,14.5,10.2,12.5,23,288
3.6,6,Z,15.7,11,13.6,21,313
4.8,8,Z,15,10.4,12.9,22,297
3,6,Z,11.8,9.9,11,26,253
4.8,8,Z,16,11,13.7,21,315
2.9,6,Z,11.6,8,10,28,230
2.9,6,Z,12.7,8.8,10.9,26,251
3.4,6,Z,12,8,10.2,28,235
3.4,6,Z,12.6,8.9,10.9,26,251
3.6,6,Z,13.1,8.8,11.2,25,258
3.6,6,Z,13.3,9,11.4,25,262
4.8,8,Z,14.5,9.8,12.4,23,285
4.8,8,Z,14.5,9.8,12.4,23,285
4.8,8,Z,15.7,10.2,13.2,21,304
6.6,12,Z,18,11.9,15.2,19,350
6.7,12,Z,20.6,13.4,17.4,16,400
6.7,12,Z,20.6,13.4,17.4,16,400
6.7,12,Z,20.6,13.4,17.4,16,400
6.7,12,Z,20.6,13.4,17.4,16,400
2.5,4,X,10.2,7.5,9,31,207
2.5,4,X,10.5,7.6,9.2,31,212
2.4,4,X,10.9,8.6,9.8,29,225
2.4,4,X,10.9,8.6,9.8,29,225
1.8,4,X,8.8,7.1,8,35,184
1.8,4,X,8.6,7.1,7.9,36,182
1,3,Z,7,5.8,6.5,43,150
1,3,Z,7,5.8,6.5,43,150
2.5,4,Z,13.4,9.7,11.7,24,269
2.5,4,X,11.3,8.9,10.2,28,235
2.5,4,X,11.3,8.8,10.2,28,235
2.5,4,X,11.8,8.9,10.5,27,242
2.5,4,Z,12.6,9.5,11.2,25,258
2.5,4,X,12.2,8.8,10.7,26,246
2.5,4,Z,13.9,10.4,12.3,23,283
2.5,4,X,11.8,8.9,10.5,27,242
2.5,4,Z,12.6,9.5,11.2,25,258
2.5,4,X,12.2,8.8,10.7,26,246
2.5,4,Z,13.9,10.4,12.3,23,283
2.5,4,X,10.4,7.6,9.2,31,212
2.5,4,Z,13,9.5,11.4,25,262
2.5,4,X,12,8.8,10.6,27,244
3.6,6,X,13.4,9.7,11.7,24,269
2.5,4,X,11.8,8.9,10.5,27,242
2.5,4,Z,12.6,9.5,11.2,25,258
2.5,4,X,12.2,8.8,10.7,26,246
2.5,4,Z,13.9,10.4,12.3,23,283
2.5,4,X,10.9,8.2,9.7,29,223
2.5,4,X,12,8.8,10.6,27,244
3.6,6,X,13.4,9.7,11.7,24,269
3.6,6,X,14.7,11.1,13.1,22,301
4,6,X,16.3,12.5,14.6,19,336
2.4,4,X,12.7,10.2,11.5,25,265
2.4,4,X,10.6,8.1,9.5,30,219
2.4,4,X,10,7.5,8.9,32,205
2.4,4,X,11.5,8,9.9,29,228
1.6,4,X,9.5,7,8.3,34,191
1.6,4,X,9.2,6.8,8.1,35,186
2,4,X,10.3,8,9.3,30,214
2,4,X,10.6,7.9,9.4,30,216
2,4,X,9.5,7.6,8.7,32,200
2,4,X,10.4,7.5,9.1,31,209
2,4,X,10.1,8,9.2,31,212
2,4,X,9.3,7.3,8.4,34,193
2,4,X,10.3,7.2,8.9,32,205
2,4,X,10.2,8,9.2,31,212
2,4,X,10.4,7.4,9.1,31,209
4,6,X,14.2,10.9,12.7,22,292
3.5,6,X,12,8.1,10.3,27,237
2.5,4,X,10.3,7.2,8.9,32,205
2.5,4,X,10.6,7.1,9,31,207
3.5,6,X,12,8.1,10.3,27,237
2.4,4,X,6.8,6.8,6.8,42,156
1.8,4,X,9.1,6.8,8.1,35,186
1.8,4,X,8.6,6.7,7.8,36,179
2.4,4,X,10.8,7.8,9.4,30,216
2.4,4,X,10.9,8,9.6,29,221
1.8,4,X,9.4,7.5,8.5,33,196
1.8,4,X,9.1,7.3,8.3,34,191
2.4,4,X,11.2,8.3,9.9,29,228
2.4,4,X,10.9,8.5,9.8,29,225
2.4,4,X,11.7,9.1,10.6,27,244
4,6,X,13.9,11.2,12.7,22,292
4,6,X,15.2,12,13.8,20,317
2.7,4,X,11.8,8.7,10.4,27,239
3.5,6,X,13.1,9.7,11.6,24,267
3.5,6,X,14.2,10.3,12.4,23,285
3.5,6,X,7.8,8.7,8.2,34,189
1.8,4,X,4.7,4.9,4.8,59,110
2.5,4,X,10.9,8.2,9.7,29,223
3.5,6,X,12.2,8.8,10.7,26,246
2.5,4,X,11.1,8.6,9.9,29,228
3.5,6,X,12.6,9.1,11,26,253
4.6,8,X,17.3,12.7,15.2,19,350
5.7,8,X,18.1,13.1,15.9,18,366
2.7,4,X,11.8,8.9,10.5,27,242
3.5,6,X,13,9.6,11.5,25,265
3.5,6,X,14.4,10.6,12.7,22,292
2.7,4,X,12.3,9.3,11,26,253
2.7,4,X,11.4,9.1,10.4,27,239
4,6,X,15.6,12.1,14.1,20,324
2.7,4,X,13.1,10.4,11.9,24,274
2.7,4,X,13,10.9,12,24,276
4,6,X,14.9,11.5,13.4,21,308
4,6,X,16.4,12.7,14.7,19,338
4.6,8,X,15.7,11.7,13.9,20,320
5.7,8,X,16.9,12.8,15.1,19,347
4.6,8,X,16.5,12.1,14.5,19,334
5.7,8,X,18.5,14.2,16.6,17,382
2.7,4,X,11.4,8.1,9.9,29,228
3.5,6,X,12.5,9,10.9,26,251
2.7,4,X,11.6,8.5,10.2,28,235
3.5,6,X,13,9.4,11.4,25,262
1.5,4,X,8.2,6.8,7.6,37,175
1.5,4,X,8.1,6.5,7.4,38,170
2,4,Z,10.9,8,9.6,29,221
2,4,Z,11.4,8,9.9,29,228
2.5,5,X,10.4,7.8,9.2,31,212
2.5,5,X,11.3,7.4,9.5,30,219
2,4,D,8.1,6.4,7.4,38,198
2,4,D,8.3,6,7.3,39,196
2.5,5,X,10.4,7.8,9.2,31,212
2.5,5,X,11.3,7.4,9.5,30,219
2,4,D,8.1,6.4,7.4,38,198
2,4,D,8.3,6,7.3,39,196
2,4,Z,10,7.5,8.9,32,205
2,4,Z,11.4,8,9.9,29,228
2,4,X,10.6,8,9.5,30,219
2,4,X,10.4,7.2,9,31,207
2.5,5,X,10.4,7.8,9.2,31,212
2.5,5,X,11.3,7.4,9.5,30,219
2,4,D,8.1,6.4,7.4,38,198
2,4,D,8.3,6,7.3,39,196
2,4,Z,11,7.9,9.6,29,221
2,4,Z,11.4,8,9.9,29,228
3.6,6,Z,14.3,9.8,12.3,23,283
3.6,6,X,13.7,9.4,11.8,24,271
3.6,6,E,19.1,13.1,16.4,17,262
2,4,Z,12.1,9.5,10.9,26,251
2,4,Z,13.5,9.1,11.5,25,265
2,4,Z,12.3,9.4,11,26,253
3.6,6,Z,13.8,10.4,12.3,23,283
3,6,D,12.4,9,10.6,27,288
2.5,5,X,11.5,7.9,9.9,29,228
2.5,5,X,11.6,8.1,10,28,230
2.5,5,X,12.7,8.5,10.8,26,248
2.5,5,X,12.2,8.6,10.6,27,244
2.5,5,X,11.5,7.9,9.9,29,228
3,6,X,12.8,9.1,11.1,25,255
3.2,6,X,12.9,8.8,11,26,253
3,6,X,12.8,9.1,11.1,25,255
2.5,5,X,11.5,7.9,9.9,29,228
3.2,6,X,13,9.4,11.4,25,262
3.2,6,X,13.2,9.6,11.6,24,267
3,6,X,14.2,10.4,12.5,23,288
3.2,6,X,13.2,9.6,11.6,24,267
3,6,X,14.2,10.4,12.5,23,288
3.2,6,X,14.7,10.6,12.9,22,297
3.2,6,X,15.1,10.7,13.1,22,301
4.4,8,X,17.3,12,14.9,19,343
